algorithm,scene,alpha,revenue_mean,revenue_std,revenue_sem,gini_mean,gini_std,gini_sem,n_samples
Demand-Greedy,normal,,352.4,6.4265076052238514,2.874021572639983,0.20082981674866146,0.01436246036241577,0.006423087538901585,5
Demand-Greedy,shock,,622.0,37.242448899072144,16.655329477377503,0.13135847904688053,0.01302667816003827,0.005825707577371491,5
Local-First,normal,,1234.6,29.15990397789403,13.040705502387514,0.09953370564914962,0.015386427479008603,0.006881019554786791,5
Local-First,shock,,1282.4,36.204972034238615,16.191355718407276,0.11661523009402164,0.01575491851223276,0.00704581375466446,5
PPO,normal,0.0,1204.4,29.888124732073774,13.366375724181928,0.0840028782976013,0.0057460683266618365,0.0025697198763548665,5
PPO,normal,0.1,1203.4,30.615355624261493,13.691603266235841,0.09284994570865304,0.00368771912764509,0.0016491981302681291,5
PPO,normal,0.2,1207.6,32.76888768328885,14.654692081377894,0.09122692724006985,0.007863635467851177,0.0035167246912787184,5
PPO,normal,0.4,1203.2,32.321819255728784,14.454757002454244,0.0920956395882607,0.0063497448922259165,0.0028396922437598448,5
PPO,shock,0.0,1236.8,38.89987146508327,17.396551382386107,0.08069380769294003,0.008852509834392359,0.0039589627522373435,5
PPO,shock,0.1,1238.2,37.11738137315185,16.599397579430406,0.08513948517741352,0.006208569413639409,0.0027765566503847455,5
PPO,shock,0.2,1240.6,39.18290443548053,17.523127574722498,0.08417848290604515,0.006639053677946585,0.002969075066031712,5
PPO,shock,0.4,1239.8,46.687257362153964,20.879176228960755,0.08729375125944604,0.004828016922148589,0.002159154806888711,5
